PosGroup,Height,Weight,Birthdate,Exp
lineb,72,225,2-Jul-93,0
dback,74,185,26-Oct-89,5
lineb,74,235,31-Aug-92,3
lineb,73,240,30-Jul-91,4
off,79,322,21-Jul-93,3
lineb,75,238,20-Apr-91,5
lineb,74,242,26-May-93,0
off,78,310,5-Jun-92,2
lineb,76,245,8-Jun-89,5
lineb,74,245,14-Sep-92,0
dback,72,190,14-Jul-90,5
off,76,318,20-Sep-87,8
off,76,335,8-Jul-91,1
off,75,326,26-Oct-87,7
dback,69,192,23-Apr-91,3
off,75,320,29-Apr-89,4
dback,70,190,25-Jul-94,0
lineb,73,232,18-Oct-94,0
lineb,74,238,22-Jul-86,7
lineb,75,255,19-Nov-91,4
off,75,305,9-Oct-91,3
dback,71,200,27-Mar-87,5
off,74,303,15-May-86,8
lineb,74,234,26-Mar-87,8
off,79,309,22-Jul-91,3
dback,72,205,16-Jun-88,7
off,73,311,30-Jan-91,4
dback,70,185,11-Feb-89,4
off,74,295,22-Mar-85,8
off,78,309,25-Jan-92,3
off,75,301,27-Jul-91,3
dback,75,194,2-Jul-92,2
lineb,75,227,18-Nov-93,0
off,77,324,8-Nov-90,3
lineb,71,232,2-Oct-93,0
dback,71,212,23-Jan-86,9
off,81,330,18-Jul-91,3
dback,72,204,2-Aug-93,0
lineb,72,245,6-Dec-92,0
lineb,77,270,8-Mar-93,3
lineb,72,229,4-Aug-93,2
off,76,311,19-Nov-85,8
dback,71,200,11-Jun-92,2
lineb,75,250,4-Feb-93,0
off,76,310,23-Apr-92,2
off,76,307,13-Jan-84,11
lineb,72,222,5-Jul-93,2
dback,73,210,25-Jul-92,2
lineb,76,245,7-Jul-92,3
lineb,73,250,10-Sep-89,5
dback,73,206,30-Jun-92,2
lineb,74,236,5-Jun-92,1
lineb,74,236,5-Jun-92,1
lineb,75,245,7-Nov-91,4
lineb,78,272,19-Feb-92,3
lineb,78,272,19-Feb-92,3
off,75,321,29-Nov-93,3
off,76,299,29-Apr-93,0
dback,74,220,26-Feb-93,2
off,76,310,20-Nov-90,3
lineb,74,237,9-Jan-94,0
lineb,75,235,14-Oct-90,1
off,78,320,1-Aug-89,5
lineb,73,235,22-Dec-92,0
dback,69,186,13-May-92,4
dback,69,186,13-May-92,4
off,77,301,1-Nov-81,12
off,77,301,1-Nov-81,12
lineb,74,245,26-Feb-81,14
lineb,75,255,14-May-86,8
off,77,309,11-Feb-92,3
lineb,74,258,20-Jan-87,8
lineb,73,245,20-Jun-87,7
lineb,76,259,1-Oct-92,2
dback,73,203,23-Feb-88,6
lineb,74,245,8-Aug-93,2
dback,71,192,18-Aug-93,2
dback,69,190,10-Dec-86,8
off,78,310,18-Aug-89,4
dback,69,195,22-Jul-88,5
lineb,76,255,14-Jul-89,6
lineb,74,250,4-Jun-86,6
lineb,75,250,1-Aug-89,5
dback,76,220,5-Sep-91,1
dback,70,195,13-Aug-87,7
dback,72,193,13-Aug-87,8
dback,74,202,21-Sep-88,5
lineb,75,249,26-Aug-90,4
lineb,72,220,10-Jun-90,3
dback,73,200,30-Nov-91,2
dback,74,217,26-Jan-91,4
dback,73,209,15-Nov-90,4
dback,70,195,8-Apr-91,3
dback,70,190,26-Oct-90,3
dback,75,210,9-Mar-89,3
lineb,76,260,19-Nov-92,2
dback,73,192,19-Dec-87,7
lineb,73,225,20-Sep-94,0
lineb,72,251,10-Apr-88,3
lineb,75,273,17-Dec-88,6
dback,72,209,8-Nov-89,3
dback,74,193,2-Oct-89,4
lineb,76,265,21-Jul-90,5
dback,72,210,25-Sep-93,0
dback,72,203,25-Nov-88,2
dback,72,182,20-Jun-94,0
dback,72,182,20-Jun-94,0
lineb,75,250,26-Mar-89,6
dback,71,190,15-Sep-92,0
lineb,76,240,4-Oct-90,4
lineb,72,246,3-Dec-90,4
lineb,72,246,3-Dec-90,4
lineb,75,256,17-Jan-87,7
dback,73,221,10-Jun-87,8
dback,71,190,17-May-92,3
lineb,72,246,14-Mar-88,7
dback,74,200,28-Jan-93,1
lineb,73,245,2-May-90,4
lineb,73,245,2-May-90,4
dback,70,202,3-Feb-90,6
lineb,76,261,6-Jan-89,7
lineb,75,235,16-Jan-88,6
dback,70,188,4-Sep-90,4
lineb,73,245,20-Nov-91,3
lineb,73,232,6-Dec-94,0
off,78,305,21-Apr-92,2
off,78,335,3-Mar-91,3
lineb,74,241,19-Jun-92,3
lineb,77,249,26-Feb-93,2
dback,69,195,10-Apr-88,8
dback,71,199,7-Jan-94,0
dback,72,211,26-Jul-95,0
dback,71,213,14-Oct-91,0
lineb,73,226,22-Apr-92,3
dback,71,210,21-Sep-83,10
dback,70,180,16-Feb-90,2
dback,71,194,22-Jan-93,2
dback,70,197,4-Sep-78,14
off,78,315,16-Nov-87,6
lineb,75,235,29-Sep-92,0
lineb,74,260,1-Feb-84,11
dback,70,187,7-Feb-91,1
dback,72,200,15-Dec-87,5
lineb,73,240,19-Jul-93,0
off,78,325,25-Oct-91,3
off,80,335,27-Oct-85,2
lineb,75,239,19-Jan-90,2
lineb,73,242,2-Oct-93,0
lineb,74,245,25-Sep-91,4
off,76,315,28-May-86,8
lineb,76,261,8-Feb-91,4
lineb,76,261,8-Feb-91,4
dback,72,195,7-Feb-93,0
dback,73,205,20-Jul-91,2
lineb,72,217,22-Aug-92,0
lineb,76,257,31-Jul-86,8
lineb,76,255,5-Jan-93,2
lineb,72,225,9-Jun-92,3
lineb,74,248,23-Sep-89,4
off,75,300,12-Oct-89,2
dback,72,206,17-Aug-87,6
dback,72,200,29-Jul-94,0
lineb,74,249,28-Jun-88,6
off,76,315,27-Apr-83,11
lineb,79,287,18-Jan-80,15
lineb,76,253,26-Apr-94,0
lineb,75,265,12-Apr-90,5
lineb,71,240,5-Dec-92,2
lineb,76,240,31-Oct-88,2
dback,72,197,9-Jan-93,2
dback,73,203,11-Jul-90,6
dback,73,203,11-Jul-90,6
dback,71,210,28-Mar-92,2
dback,71,190,3-Jan-91,2
lineb,72,230,7-Oct-91,3
dback,75,230,7-Aug-91,3
dback,70,196,24-Sep-92,0
dback,70,200,17-Dec-88,4
dback,69,213,20-Oct-92,0
lineb,73,242,12-Jan-91,4
dback,71,200,11-Aug-86,9
lineb,74,232,10-Oct-84,10
off,76,304,24-Jul-89,7
off,77,299,24-Jul-89,6
lineb,75,237,14-May-91,2
dback,70,193,19-Jul-87,8
dback,72,191,25-Apr-91,4
dback,71,200,31-Aug-92,3
dback,74,194,26-Mar-91,1
dback,73,213,28-Apr-87,6
dback,72,203,28-Nov-92,0
dback,71,207,2-Jul-92,3
lineb,72,233,18-Apr-92,2
off,76,308,4-Apr-93,0
dback,72,207,15-Jan-86,8
off,79,315,11-Mar-91,2
lineb,74,252,23-Sep-93,0
dback,72,211,27-Jun-90,4
dback,73,211,24-Oct-94,0
dback,71,196,29-Aug-92,2
dback,72,198,20-Oct-92,0
lineb,75,245,18-May-93,2
dback,72,190,31-Jul-91,2
dback,72,186,28-Dec-93,0
off,77,310,22-Jul-92,1
dback,71,192,29-Dec-93,0
dback,72,191,30-Dec-90,1
dback,73,213,10-Dec-91,4
off,78,305,1-Dec-88,5
lineb,77,245,17-Jan-88,3
off,75,307,27-Nov-91,1
off,77,310,11-Apr-89,4
dback,71,198,14-Jul-85,10
lineb,72,250,6-Sep-87,6
dback,73,207,18-Oct-91,2
lineb,73,240,3-Nov-90,4
lineb,74,242,2-Dec-92,0
dback,73,218,19-Jun-90,4
dback,71,210,21-Jan-93,2
off,75,298,9-Jul-91,3
dback,72,190,18-Jul-92,2
lineb,72,240,3-May-88,7
lineb,74,250,22-Jun-90,2
lineb,74,247,6-Mar-92,1
dback,72,191,4-Oct-92,3
dback,72,182,26-Nov-90,2
lineb,71,235,22-Apr-94,0
lineb,73,234,11-Feb-88,5
dback,68,165,17-Jan-92,4
lineb,75,245,23-Feb-92,2
off,77,332,21-Oct-92,3
dback,70,200,8-Jan-91,5
lineb,75,238,7-Jul-89,5
dback,71,191,7-Sep-87,7
dback,73,177,23-Jul-95,0
dback,71,194,1-May-92,3
dback,74,193,7-Apr-86,9
dback,72,190,28-May-90,3
dback,71,195,15-Jul-92,2
dback,73,205,3-Oct-92,2
lineb,74,251,19-Jun-91,1
dback,71,192,19-Oct-93,0
lineb,74,240,27-Feb-92,2
dback,71,195,9-Feb-91,4
off,77,332,6-Jun-88,7
dback,74,215,23-Jun-92,2
dback,71,185,11-Oct-93,0
dback,70,200,27-Aug-85,8
dback,70,196,10-Feb-87,9
lineb,75,260,31-Jul-93,0
lineb,73,245,6-Nov-93,0
off,79,300,4-May-88,4
off,76,340,4-Aug-87,5
dback,71,207,16-Nov-88,6
dback,74,206,22-May-90,3
dback,73,210,9-Sep-87,6
dback,71,187,15-Nov-88,5
dback,72,185,30-Nov-93,0
dback,72,200,2-Aug-92,1
dback,73,200,27-Mar-92,2
lineb,73,230,6-Sep-92,3
dback,74,212,28-Jun-89,5
dback,71,199,29-Mar-93,2
lineb,74,249,2-Jan-88,6
dback,70,175,30-Sep-87,6
dback,75,195,30-Mar-88,6
dback,71,184,8-Dec-87,7
off,73,307,22-May-86,5
off,73,307,22-May-86,5
lineb,73,235,4-Jan-92,2
dback,74,202,19-Nov-93,0
lineb,73,260,14-Oct-90,4
dback,72,203,18-Sep-93,0
lineb,74,250,18-Dec-90,2
lineb,75,247,9-Jul-90,2
dback,69,185,26-Apr-89,6
lineb,74,252,21-Apr-86,8
off,77,315,18-Feb-86,8
dback,72,190,1-Jan-91,4
lineb,76,265,25-Sep-89,6
lineb,74,250,14-Mar-82,13
dback,70,200,4-Feb-92,2
dback,71,193,23-Sep-92,2
dback,74,214,2-Feb-89,5
dback,74,210,26-Jul-88,6
lineb,72,225,5-Jul-89,6
lineb,77,268,17-Nov-92,2
dback,71,189,7-Sep-93,0
dback,75,220,14-Jul-87,8
lineb,75,218,11-Apr-91,3
lineb,74,235,3-May-93,0
off,77,320,12-Dec-90,6
lineb,76,275,8-Sep-92,2
off,80,325,12-Apr-88,6
dback,74,208,5-Mar-90,3
lineb,72,238,5-Aug-93,2
lineb,71,231,7-Jun-90,5
lineb,74,255,3-Sep-87,6
dback,73,218,18-Feb-91,4
off,77,315,30-Aug-84,10
lineb,73,230,2-Sep-90,3
lineb,76,245,10-Dec-89,3
lineb,77,250,25-Jan-91,3
off,75,313,9-May-90,1
dback,71,214,4-Aug-88,7
off,79,320,22-Sep-83,11
dback,71,212,16-Jun-87,7
lineb,74,240,14-Mar-88,4
off,76,320,1-Jan-91,3
lineb,75,265,11-Oct-82,14
off,76,310,8-Aug-85,8
dback,72,210,25-Oct-91,3
dback,72,189,4-Dec-92,2
off,77,304,30-Jan-91,3
dback,70,205,12-Feb-89,4
dback,70,205,12-Feb-89,4
dback,73,205,13-Feb-86,9
dback,70,205,12-Feb-89,5
dback,73,221,18-Feb-92,2
dback,71,192,29-Sep-90,4
off,75,324,22-Nov-89,4
lineb,73,241,26-Jan-91,4
dback,70,197,21-Sep-90,4
dback,69,212,5-Aug-91,2
dback,70,202,7-May-89,7
lineb,73,236,15-Aug-88,6
off,78,312,4-Dec-84,10
lineb,73,227,6-May-91,2
dback,71,193,17-Mar-90,4
dback,72,223,1-Mar-89,3
dback,69,205,23-Feb-91,4
dback,73,213,22-Sep-93,0
dback,72,193,22-Apr-93,2
dback,70,189,26-Sep-90,2
off,75,320,28-Jun-91,4
dback,73,200,1-Feb-90,4
off,76,324,13-Mar-89,4
lineb,73,234,14-May-86,10
lineb,72,245,27-Aug-92,2
dback,72,180,2-Jan-85,8
lineb,74,235,9-Dec-88,3
lineb,78,270,19-Mar-91,1
dback,74,225,23-Oct-89,4
off,76,307,12-Feb-91,4
lineb,73,239,24-Mar-90,5
lineb,76,244,3-Apr-91,3
dback,72,190,10-Sep-90,4
lineb,76,252,6-Jun-84,10
off,77,298,27-Jan-94,0
off,75,310,14-Jun-93,3
off,75,295,14-Feb-93,1
lineb,73,233,28-Dec-87,2
off,77,305,14-Apr-86,8
off,77,334,23-Sep-85,8
dback,72,214,15-Feb-91,4
lineb,75,243,19-Jun-90,3
off,80,321,14-Jun-87,7
off,80,321,14-Jun-87,7
dback,70,187,13-Dec-88,7
dback,70,188,18-Jun-91,3
lineb,74,239,20-Aug-93,0
lineb,74,240,28-Mar-91,2
off,81,320,22-Sep-88,2
off,80,320,10-Jul-84,8
off,78,315,21-Jul-91,4
dback,70,190,1-Aug-89,5
lineb,72,245,27-Jun-90,5
off,78,310,21-Oct-89,4
lineb,74,250,21-Aug-85,9
lineb,74,242,8-Jul-93,0
off,76,296,26-Nov-84,7
dback,71,193,18-Jul-91,3
dback,70,200,12-Dec-86,7
lineb,76,258,31-Jul-82,12
off,75,317,18-Jun-91,4
off,74,323,14-Sep-91,4
lineb,76,247,1-Jun-92,1
lineb,74,245,3-Mar-88,7
off,77,315,22-Dec-88,4
dback,72,190,25-Jul-92,2
lineb,74,244,29-Dec-87,6
dback,71,190,3-May-90,4
dback,70,182,12-Oct-85,8
dback,71,198,1-Feb-91,4
dback,71,195,4-Jan-85,10
dback,71,199,14-Jul-93,0
off,78,310,14-Feb-91,3
off,74,300,4-Mar-86,8
off,78,326,28-Jul-92,2
lineb,74,245,12-Dec-84,9
dback,73,210,9-May-90,5
dback,71,193,9-Sep-93,0
off,76,310,11-Jul-92,0
lineb,74,241,2-Apr-90,5
dback,70,208,24-Jul-85,11
off,79,330,12-Dec-81,11
lineb,76,245,26-Apr-89,5
dback,72,212,14-Feb-91,4
lineb,72,240,7-Dec-86,5
dback,72,199,23-Apr-90,6
lineb,75,240,26-May-93,0
dback,71,200,9-Sep-92,0
dback,71,200,9-Sep-92,0
off,76,301,31-Aug-93,2
dback,71,201,15-Oct-90,4
dback,71,196,24-Mar-91,3
dback,72,196,1-Jun-93,2
dback,72,210,13-May-91,4
dback,73,210,3-Jul-88,5
lineb,76,262,9-May-91,4
dback,72,192,16-Mar-83,10
off,77,320,19-Jul-88,7
dback,71,191,15-Sep-93,0
lineb,73,233,27-Dec-89,4
dback,73,212,18-Nov-92,0
lineb,73,246,9-Mar-92,3
lineb,73,243,28-May-93,2
dback,73,209,9-Feb-94,0
dback,70,190,8-Sep-87,7
lineb,74,237,19-Aug-92,2
dback,72,212,19-Mar-90,5
off,79,310,17-Nov-83,10
off,76,320,10-Jul-91,4
off,76,310,18-Mar-86,8
lineb,72,233,21-Jul-86,9
dback,73,205,22-Feb-95,0
lineb,72,230,1-May-90,4
dback,73,198,5-Dec-89,4
lineb,76,246,23-Jul-89,6
lineb,72,240,29-Aug-94,0
lineb,72,240,29-Aug-94,0
dback,71,184,8-Apr-87,6
off,75,305,15-Sep-84,10
dback,72,205,9-Oct-91,1
off,80,320,24-Jun-87,7
dback,69,177,14-Mar-94,0
lineb,76,258,19-Sep-85,7
off,76,320,8-Mar-90,5
lineb,75,254,5-Mar-87,7
off,76,300,1-Jun-86,9
